Name,Disabled,FileName,ExportName,ParticleFileName,ParticleExportName,ParticleStyle,ParticleVariations,ThemeMusic,LoadingJingle,LoadingScreen,CustomButtonName
Singles Day 2021,,sc/backgrounds/background_sd.sc,bgr_sd,,,,,Brawlywood_Menu,sfx/brawlywood_load_01.ogg,,
Black Friday 2021,,sc/backgrounds/background_bf.sc,bgr_bf,,,,,Brawlywood_Menu,sfx/brawlywood_load_01.ogg,,
Brawlywood,,sc/backgrounds/background_brawlywood.sc,bgr_brawlywood,,,,,Brawlywood_Menu,sfx/brawlywood_load_01.ogg,,
Brawlidays 2021,,sc/backgrounds/background_brawlidays2021.sc,bgr_brawlidays2021,,,,,Xmas_menu,sfx/brawl_xmas_load_01.ogg,sc/loading_brawlidays.sc,
Brawlidays 2021 ❄,,sc/backgrounds/background_brawlidays2021.sc,bgr_brawlidays2021,sc/ui.sc,particle_snow_,Snow,2,Xmas_menu,sfx/brawl_xmas_load_01.ogg,sc/loading_brawlidays.sc,
Brawlentines,,sc/backgrounds/background_stv.sc,bgr_stv,,,,,Brawlywood_Menu,sfx/brawl_fighting_load_01.ogg,,
Year of The Tiger,,sc/backgrounds/background_lny22.sc,bgr_lny22,,,,,Retro_Fight_Menu,sfx/brawl_fighting_load_01.ogg,,
The Biodome,,sc/backgrounds/background_biodome.sc,bgr_biodome,,,,,Biodome_Menu,sfx/brawly_biome_loading_01.ogg,,
Ramadan 2022,,sc/backgrounds/background_ramadan22.sc,bgr_ramadan22,,,,,Brawzaar_menu_muzak,,,
Easter 2022,,sc/backgrounds/background_easter22.sc,bgr_easter22,,,,,MenuMusic,,,
Golden Week 2022,,sc/backgrounds/background_gw22.sc,bgr_gw,,,,,Lunar_Menu_Music,,,
The Stunt Show,,sc/backgrounds/background_stuntshow.sc,bgr_stuntshow,,,,,Pinstuntbrawl_Menu,,,
Villains,,sc/backgrounds/background_villains.sc,bgr_villains,,,,,Space_Brawl_Menu,,,
Deep Sea Brawl,,sc/backgrounds/background_deepsea.sc,bgr_deepsea,,,,,Deepsea_Beastieboys_Menu,sfx/brawl_underwater_load_01.ogg,,
BT21,,sc/backgrounds/background_bt21.sc,bgr_bt21,,,,,MenuMusic,,,
Mecha 2022,,sc/backgrounds/background_mecha22.sc,bgr_mecha,,,,,MechMenuMusic,,,
Moon Festival 2022,,sc/backgrounds/background_mf22.sc,bgr_mf24,,,,,Lunar_Menu_Music,,,
Brawl-o-Ween 2022,,sc/backgrounds/background_brawloween22.sc,bgr_brawloween,,,,,Halloween_menu,sfx/brawloween_load_01.ogg,sc/loading_brawloween2022.sc,
Robot Factory,,sc/backgrounds/background_outlaw.sc,bgr_outlaw,,,,,Robotfactory_Menu,,,
Ghost Station,,sc/backgrounds/background_ghosttrain.sc,bgr_ghosttrain,,,,,Ghosttrain_Menu,sfx/ghost_train_load_01.ogg,,
Action Heroes,,sc/backgrounds/background_actionheroes.sc,bgr_action,,,,,TopGun_Action_Menu,,,
Last Box,,sc/backgrounds/background_lastbox.sc,bgr_lastbox,,,,,MenuMusic,,,
Candyland,,sc/backgrounds/background_candyland.sc,bgr_candyland,,,,,Mandy_Candy_Menu,sfx/candy_land_load_01.ogg,,
4th Anniversary,,sc/backgrounds/background_4thanniversary.sc,bgr_4thanniversary,,,,,MenuMusic,,,
Brawlentines 2023,,sc/backgrounds/background_brawlentines.sc,bgr_brawlentines,,,,,Brawlentines_Menu,,,
LNY 2023,,sc/backgrounds/background_lny23.sc,bgr_lny23,,,,,Retro_Fight_Menu,sfx/brawl_fighting_load_01.ogg,,
LNY 2023 Red,,sc/backgrounds/background_lny23.sc,bgr_lny23red,,,,,Retro_Fight_Menu,sfx/brawl_fighting_load_01.ogg,,
Dark Brawlidays,,sc/backgrounds/background_darkmas.sc,bgr_darkmas,sc/ui.sc,particle_snow_,Snow,2,Krampus_Menu,sfx/dark_xmas_load_01.ogg,sc/loading_darkmas.sc,
Ayakashi Clan,,sc/backgrounds/background_masks.sc,bgr_masks,,,,,Mask_Dance_Menu,sfx/brawl_mask_dance_loading_jingle_01.ogg,,
Easter 2023,,sc/backgrounds/background_easter_2023.sc,bgr_easter2023,,,,,MenuMusic,,,
Popstar,,sc/backgrounds/background_popstar.sc,bgr_popstar,,,,,MenuMusic,,,
Ramadan 2023,,sc/backgrounds/background_ramadan2023.sc,bgr_ramadan2023,,,,,Brawzaar_menu_muzak,,,
Mystery at The Hub,,sc/backgrounds/background_hub.sc,bgr_hub,,,,,Scifi_Noir_Menu,,,
Legends of Olympus,,sc/backgrounds/background_olympus.sc,bgr_olympus,,,,,Brawlympus_Menu,sfx/brawlympus_loading_01.ogg,sc/loading_olympus.sc,
Golden Week 2023,,sc/backgrounds/background_gw2023.sc,bgr_gw2023,,,,,Lunar_Menu_Music,,,
The Rescue,,sc/backgrounds/background_jungle.sc,bgr_jungle,,,,,Brawl_Jungle_Menu,sfx/brawl_jungle_loading_01.ogg,,
Deep Sea 2023,,sc/backgrounds/background_deepsea23.sc,bgr_deepsea,,,,,Deepsea_Beastieboys_Menu,sfx/brawl_underwater_load_01.ogg,,
Enchanted Woods,,sc/backgrounds/background_enchantedforest.sc,bgr_enchanted,,,,,Brawl_Enchanted_Forest_Menu,sfx/enchanted_forest_loading_01.ogg,,
Phoenix,,sc/backgrounds/background_phoenix.sc,bgr_phoenix,sc/ui.sc,particle_ember_,Ember,2,Action_Western_Menu,,,
The Jurassic Splash 2023,,sc/backgrounds/background_velocirapids2023.sc,bgr_velocirapids2023,,,,,Summer_Brawl_Menu_Muzak,,,
Cursed Pirates,,sc/backgrounds/background_cursedpirates.sc,bgr_cursedpirates,,,,,Brawl_Cursed_Pirates_Menu,sfx/cursed_pirates_loading_01.ogg,sc/loading_cursed.sc,
Football 2023,,sc/backgrounds/background_football2023.sc,bgr_football2023,,,,,Footbrawl_menu_muzak,,,
Mecha Edgar,,sc/backgrounds/background_mecha_edgar.sc,bgr_mecha_edgar,,,,,MechMenuMusic,,sc/loading_mechaedgar.sc,
Ghost Station 2023,,sc/backgrounds/background_ghosttrain2023.sc,bgr_ghosttrain,,,,,Ghosttrain_Menu,sfx/ghost_train_load_01.ogg,,
Back to Ranger Ranch,,sc/backgrounds/background_wasteland.sc,bgr_wasteland,,,,,Wasteland_Menu,sfx/wasteland_loading_01.ogg,,
Brawl Academy,,sc/backgrounds/background_university.sc,bgr_university,,,,,Highschool_Menu,sfx/monster_university_loading_01.ogg,sc/loading_university.sc,
Moon Festival 2023,,sc/backgrounds/background_mf2023.sc,bgr_mf24,,,,,Lunar_Menu_Music,,,
Retropolis 2023,,sc/backgrounds/background_retropolis2023.sc,bgr_retropolis,,,,,Retropolis_menu,,sc/loading_retropolis.sc,button_cctv
World Finals 2023,,sc/backgrounds/background_wf2023.sc,bgr_wf2023,,,,,MenuMusic,sfx/brawlywood_load_01.ogg,sc/loading_wf2023.sc,button_cctv
Hindu,,sc/backgrounds/background_hindu.sc,bgr_hindu,,,,,Hindu_Menu,sfx/hindu_brawl_loading_01.ogg,sc/loading_hindu.sc,button_cctv
Brawl-o-Ween 2023,,sc/backgrounds/background_brawloween2023.sc,bgr_brawloween,,,,,Halloween_menu,sfx/brawloween_load_01.ogg,sc/loading_brawloween2023.sc,
Bizarre Circus,,sc/backgrounds/background_circus.sc,bgr_circus,,,,,Circus_Menu,sfx/hindu_circus_loading_01.ogg,,button_cctv
Brawlidays 2023,,sc/backgrounds/background_brawlidays2023.sc,bgr_brawlidays2023,,,,,Xmas_menu,sfx/brawl_xmas_load_01.ogg,,button_cctv
LNY 2024,,sc/backgrounds/background_lny24.sc,bgr_lny24,,,,,Retro_Fight_Menu,sfx/brawl_fighting_load_01.ogg,sc/loading_lny2024.sc,
Starr Toon Studios,,sc/backgrounds/background_cartoon.sc,bgr_cartoon,,,,,Brawly_Toonz_Menu,sfx/brawly_toonz_loading_01.ogg,sc/loading_cartoon.sc,
Super Brawl,,sc/backgrounds/background_superbrawl.sc,bgr_superbrawl,,,,,Highschool_Menu,sfx/monster_university_loading_01.ogg,sc/loading_lny2024.sc,
Brawlnaval,,sc/backgrounds/background_carnaval.sc,bgr_carnaval,sc/ui.sc,particle_snow_,Snow,2,Footbrawl_menu_muzak,sfx/brawl_fighting_load_01.ogg,sc/loading_lny2024.sc,
Sands of Time,,sc/backgrounds/background_sands.sc,bgr_sands,,,,,Brawzaar_menu_muzak,sfx/hindu_brawl_loading_01.ogg,sc/loading_sands.sc,
Ragnarok,,sc/backgrounds/background_ragnarok.sc,bgr_ragnarok,,,,,Ragnarok_Menu,sfx/ragnarok_load_01.ogg,sc/loading_ragnarok.sc,
Love Swamp,,sc/backgrounds/background_love_swamp.sc,bgr_loveswamp,,,,,Loveswamp_Menu,sfx/swampoflove_load_01.ogg,,
Melodie,,sc/backgrounds/background_melody.sc,bgr_melody,,,,,Kpop_Menu,sfx/kpop_load_01.ogg,sc/loading_melodie.sc,
Baby Shark,,sc/backgrounds/background_babyshark.sc,bgr_babyshark,,,,,Babyshark_Menu,sfx/babyshark_load_01.ogg,sc/loading_babyshark.sc,
Mecha Leon,,sc/backgrounds/background_mecha_leon.sc,bgr_mecha_leon,,,,,MechMenuMusic,sfx/brawl_robotfactory_load_01.ogg,sc/loading_leon_mecha.sc,
Enchanted Woods 2024,,sc/backgrounds/background_enchantedforest.sc,bgr_enchanted,,,,,Brawl_Enchanted_Forest_Menu,sfx/enchanted_forest_loading_01.ogg,,
Godzilla,,sc/backgrounds/background_godzilla.sc,bgr_godzilla,,,,,Godzilla_Menu,sfx/brawl_godzilla_load_01.ogg,sc/loading_godzilla.sc,
Cyberbrawl,,sc/backgrounds/background_hackers.sc,bgr_hackers,,,,,Brawl_Haxx0r_M3nu,sfx/brawl_cyberhax_load_01.ogg,sc/loading_hackers.sc,
Mad-Evil Manor,,sc/backgrounds/background_madevil.sc,bgr_madevil,sc/ui.sc,particle_ember_,Ember,2,Draco_Madevil_Menu,sfx/brawl_metal_load_01.ogg,sc/loading_draco.sc,
The Jurassic Splash 2024,,sc/backgrounds/background_velocirapids2023.sc,bgr_velocirapids2023,,,,,Summer_Brawl_Menu_Muzak,sfx/brawl_jungle_loading_01.ogg,sc/loading_velocirapids.sc,
Berry,,sc/backgrounds/background_candyland2024.sc,bgr_candyland,,,,,Mandy_Candy_Menu,sfx/candy_land_load_01.ogg,,
Gods vs Monsters!,,sc/backgrounds/background_olympus2024.sc,bgr_olympus,,,,,Brawlympus_Menu,sfx/brawlympus_loading_01.ogg,sc/loading_greek.sc,
Classic Brawl,,sc/background_basic.sc,,,,,,MenuMusic,,sc/loading_classic.sc,
Clancy,,sc/backgrounds/background_deepsea2024.sc,bgr_deepsea,,,,,Deepsea_Beastieboys_Menu,sfx/brawl_underwater_load_01.ogg,sc/loading_clancy.sc,
Deep Sea 2024,,sc/backgrounds/background_deepsea2024.sc,bgr_deepsea,,,,,Deepsea_Beastieboys_Menu,sfx/brawl_underwater_load_01.ogg,sc/loading_deepsea.sc,
Cursed Pirates 2024,,sc/backgrounds/background_cursedship.sc,bgr_cursedpirates,,,,,Brawl_Cursed_Pirates_Menu,sfx/cursed_pirates_loading_01.ogg,sc/loading_cursedship.sc,
Dynamic,,sc/background_basic.sc,bgr,,,,,MenuMusic,,,
Moe,,sc/backgrounds/background_digger.sc,bgr_digger,,,,,Ragnarok_Menu,sfx/ragnarok_load_01.ogg,,
SpongeBob,,sc/backgrounds/background_spongebob.sc,bgr_sb,,,,,Spongebrawl_Menu_Musings,sfx/spongebrawl_loading_01.ogg,sc/loading_spongebob.sc,
Kenji,,sc/backgrounds/background_samurai.sc,bgr_samurai,,,,,Katana_Brawl_Menu,sfx/brawl_mask_dance_loading_jingle_01.ogg,sc/loading_samurai.sc,
Scary Tales,,sc/backgrounds/background_darkonceupon.sc,bgr_dark,,,,,Dark_Once_Upon_Menu,sfx/fairytale_load_01.ogg,sc/loading_darkonceupon.sc,
Zombies,,sc/backgrounds/background_zombie.sc,bgr_zombie,,,,,Ghosttrain_Menu,sfx/ghost_train_load_01.ogg,sc/loading_shade.sc,
Angels,,sc/backgrounds/background_angel.sc,bgr_angel,,,,,Angelic_Menu_Music,sfx/angel_demon_load_01.ogg,sc/loading_demonsangels.sc,
Demons,,sc/backgrounds/background_demon.sc,bgr_demon,,,,,Demonic_Menu_Music,sfx/angel_demon_load_01.ogg,sc/loading_demonsangels.sc,
Juju,,sc/backgrounds/background_selena.sc,bgr_selena,,,,,Juju_Menu_Music,sfx/juju_loading_jingle_01.ogg,,
Starr Toon Studios 2,,sc/backgrounds/background_toons2.sc,bgr_toons2,,,,,Brawly_Toonz_Menu,sfx/brawly_toonz_loading_01.ogg,sc/loading_toons2.sc,
Shade,,sc/backgrounds/background_ghosttrain2024.sc,bgr_ghosttrain,,,,,Ghosttrain_Menu,sfx/ghost_train_load_01.ogg,sc/loading_shade.sc,
Toy Story,,sc/backgrounds/background_toystory.sc,bgr_toystory,,,,,Disney_Buzz_Menu,sfx/brawl_story_logo_01.ogg,,
Arcade,,sc/backgrounds/background_arcade.sc,bgr_arcade,,,,,Retro_Fight_Menu,sfx/brawl_fighting_load_01.ogg,sc/loading_starrforcemeeple.sc,
Ollie,,sc/backgrounds/background_ollie.sc,bgr_ollie,,,,,Skatebeat_Menu_Music,sfx/ollie_load_jingle_01.ogg,sc/loading_ollie.sc,
Good Randoms,,sc/backgrounds/background_goodrandoms.sc,bgr_goodrandoms,,,,,Good_Randoms_Menu,sfx/goodrandoms_load_01.ogg,sc/loading_goodrandoms.sc,
Dark Sands,,sc/backgrounds/background_darksands.sc,bgr_darksands,,,,,Brawzaar_menu_muzak,sfx/hindu_brawl_loading_01.ogg,sc/loading_darksands.sc,
Finx,,sc/backgrounds/background_finnx.sc,bgr_finnx,,,,,Finx_Menu_Music,sfx/finx_loading_jingle_01.ogg,,
Super Brawl,,sc/backgrounds/background_superheroes.sc,bgr_superheroes,,,,,Make_Heroes_Menu_Music,sfx/make_heroes_jingle_01.ogg,sc/loading_superheroes.sc,
Lumi,,sc/backgrounds/background_lumi.sc,bgr_lumi,,,,,Lumi_Menu_Music,sfx/lumi_loading_jingle_01.ogg,sc/loading_lumi.sc,
UNO,,sc/backgrounds/background_aprilfools.sc,bgr_aprilfools,,,,,Uno_Menu_Music,sfx/uno_loading_jingle_01.ogg,sc/loading_uno.sc,
Retropolis 2025,,sc/backgrounds/background_superheroes.sc,bgr_superheroes,,,,,Retropolis_menu,,sc/loading_retropolis25.sc,
Jae-Yong,,sc/backgrounds/background_jae.sc,bgr_jae,,,,,Jae_Menu_Music,sfx/jae_load_01.ogg,,
Katana Kingdom,,sc/backgrounds/background_feudaljapan_1.sc,bgr_feudaljapan_1,,,,,Feudal_Japan_Menu_Music,sfx/feudal_japan_load_01.ogg,sc/loading_feudaljapan.sc,
Kaze,,sc/backgrounds/background_kaze.sc,bgr_kaze,,,,,Kotomi_Kaze_Menu_Music,sfx/kotomi_kaze_load_01.ogg,sc/loading_kaze.sc,
Kaiju,,sc/backgrounds/background_kaiju.sc,bgr_kaiju,,,,,MechaChime_Menu,sfx/kaiju_loading_jingle_01.ogg,sc/loading_kaiju.sc,
Brawl Arena,,sc/backgrounds/background_kaiju.sc,bgr_kaiju,,,,,Broba_Menu,sfx/brawl_robotfactory_load_01.ogg,sc/loading_moba.sc,
Graffiti,,sc/backgrounds/background_graffiti.sc,bgr_graffiti,,,,,Skatebeat_Menu_Music,sfx/ollie_load_jingle_01.ogg,sc/loading_kaiju.sc,
Katana Kingdom 2,,sc/backgrounds/background_feudaljapan_2.sc,bgr_feudaljapan_2,,,,,Feudal_Japan_Menu_Music,sfx/feudal_japan_load_01.ogg,sc/loading_feudaljapan.sc,
Katana Kingdom 3,,sc/backgrounds/background_feudaljapan_3.sc,bgr_feudaljapan_3,,,,,Feudal_Japan_Menu_Music,sfx/feudal_japan_load_01.ogg,sc/loading_feudaljapan.sc,
Katana Kingdom 4,,sc/backgrounds/background_feudaljapan_4.sc,bgr_feudaljapan_4,,,,,Feudal_Japan_Menu_Music,sfx/feudal_japan_load_01.ogg,sc/loading_feudaljapan.sc,
Alli,,sc/backgrounds/background_allie.sc,bgr_alli,,,,,Alli_Menu_Music,sfx/alli_loading_brawl_01.ogg,sc/loading_alli.sc,
DarkGreek,,sc/backgrounds/background_darkgreek.sc,bgr_darkgreek,,,,,Dark_Greek_Menu,sfx/mortis_dark_greek_brawl_jingle_01.ogg,,
Trunk,,sc/backgrounds/background_trunk.sc,bgr_trunk,,,,,Trunk_Menu_Music,sfx/trunk_loading_brawl_01.ogg,sc/loading_trunk.sc,
Fantasy,,sc/backgrounds/background_fantasy.sc,bgr_fantasy,,,,,D&D_Brawl,sfx/dandd_loading_brawl_01.ogg,sc/loading_fantasy.sc,
Angels2025,,sc/backgrounds/background_angel.sc,bgr_angel,,,,,Angelic_Menu_Music,sfx/angel_demon_load_01.ogg,sc/loading_angel.sc,
Demons2025,,sc/backgrounds/background_demon.sc,bgr_demon,,,,,Demonic_Menu_Music,sfx/angel_demon_load_01.ogg,sc/loading_demon.sc,
StarrPark25,,sc/backgrounds/background_kaiju.sc,bgr_kaiju,,,,,Brawlsurfers_Menu,sfx/brawlsurfers_load_01.ogg,sc/loading_starrpark.sc,
Rio,,sc/backgrounds/background_rio.sc,bgr_rio,,,,,Brawlsurfers_Rio_Menu,sfx/brawlsurfers_load_01.ogg,sc/loading.sc,
Tokyo,,sc/backgrounds/background_tokyo.sc,bgr_tokyo,,,,,Brawlsurfers_Tokyo_Menu,sfx/brawlsurfers_load_01.ogg,sc/loading_street.sc,
Berlin,,sc/backgrounds/background_berlin.sc,bgr_berlin,,,,,Brawlsurfers_Berlin_Menu,sfx/brawlsurfers_load_01.ogg,sc/loading_street.sc,
New York,,sc/backgrounds/background_newyork.sc,bgr_newyork,,,,,Brawlsurfers_Ny_Menu,sfx/brawlsurfers_load_01.ogg,,
Carreta Brawl,,sc/backgrounds/background_carretabrawl.sc,bgr_carretabrawl,,,,,Mina_Menu,sfx/mina_load_01.ogg,sc/loading_carretabrawl.sc,
Brawloween 2025,,sc/backgrounds/background_brawloween2025.sc,bgr_brawloween25,,,,,Halloween_menu,sfx/brawloween_load_01.ogg,sc/loading_ziggy.sc,
Moon Festival 2025,,sc/backgrounds/background_mf2025.sc,bgr_mf25,,,,,Lunar_Menu_Music,sfx/lunar_brawl_menu_01,sc/loading_brawloween25.sc,
Ziggy,,sc/backgrounds/background_ziggy.sc,bgr_ziggy,,,,,Ziggy_Menu,sfx/ziggy_load_01.ogg,sc/loading_ziggy.sc,
Mina,,sc/backgrounds/background_mina.sc,bgr_mina,,,,,Mina_Menu,sfx/mina_load_01.ogg,sc/loading_mina.sc,
Strangerthings,,sc/backgrounds/background_strangerthings.sc,bgr_strangerthings,,,,,Stranger_Things_Menu,sfx/stranger_brawl_load_01.ogg,,
Mechas 2025,,sc/backgrounds/background_mechas2025.sc,bgr_mechas2025,,,,,Mech_Brawl_Menu,sfx/mech_loading_jingle_01.ogg,sc/loading_mecha.sc,
Gigi,,sc/backgrounds/background_gigi.sc,bgr_gigi,,,,,Gigi_Menu_Music,sfx/gigi_loading_jingle_01.ogg,sc/loading_gigi.sc,
Gym,,sc/backgrounds/background_gym.sc,bgr_gym,,,,,Pinstuntbrawl_Menu,,sc/loading_mecha.sc,
Strangerthings Upside,,sc/backgrounds/background_strangerthings.sc,bgr_strangerthings,,,,,Stranger_Things_Menu,sfx/stranger_brawl_load_01.ogg,sc/loading_stranger2.sc,
Steampunk,,sc/backgrounds/background_steampunk.sc,bgr_steampunk,,,,,Steampunk_Menu,sfx/steam_punk_load_01.ogg,sc/loading_steampunk.sc,
Pierce,,sc/backgrounds/background_pierce.sc,bgr_pierce,,,,,Pierce_Menu_Music,sfx/pierce_load_01.ogg,,
Glowbert,,sc/backgrounds/background_glowbert.sc,bgr_glowbert,,,,,Glowbert_Menu,sfx/glowbert_load_01.ogg,sc/loading_glowbert.sc,
LNY25,,sc/backgrounds/background_lny25.sc,bgr_lny25,,,,,Retro_Fight_Menu,sfx/brawl_fighting_load_01.ogg,sc/loading_brawlentine26.sc,
Brawlentines 2025,,sc/backgrounds/background_brawlentines25.sc,bgr_brawlentines25,,,,,Brawlentine_Menu,sfx/brawlentine_load_01.ogg,sc/loading_brawlentine26.sc,
Buffies,,sc/backgrounds/background_mechas2025.sc,bgr_mechas2025,,,,,Mech_Brawl_Menu,sfx/mech_loading_jingle_01.ogg,sc/loading_buffies.sc,
Najia,,sc/backgrounds/background_najia.sc,bgr_najia,,,,,Najia_Menu,sfx/najia_loading_jingle_01.ogg,sc/loading_naija.sc,
Dragons And Fairies,,sc/backgrounds/background_dragonsandfairies.sc,bgr_dragonsandfairies,,,,,Dragons_Fairies_Menu,sfx/dragon_faires_loading_jingle_01.ogg,sc/loading_dragonsandfairies.sc,
Sandsoftime 2026,,sc/backgrounds/background_sandoftime.sc,bgr_sandoftime,,,,,Brawzaar_menu_muzak,sfx/hindu_brawl_loading_01.ogg,,
Sirius,,sc/backgrounds/background_sirius.sc,bgr_sirius,,,,,Sirirus_Menu,sfx/sirius_loading_jingle_01.ogg,sc/loading_sirius.sc,
Damian,,sc/backgrounds/background_damian.sc,bgr_damian,,,,,Damian_Menu,sfx/damian_load_01.ogg,sc/loading_damian.sc,
Stella,,sc/backgrounds/background_stella.sc,bgr_stella,,,,,Stella_Menu,sfx/loading_starpatrol_01.ogg,sc/loading_starrnova.sc,
MHA,,sc/backgrounds/background_mha.sc,bgr_mha,,,,,Broba_Menu,sfx/mhajingle01.ogg,sc/loading_mha.sc,
Anime,,sc/backgrounds/background_anime.sc,bgr_anime,,,,,Star_Girls_Menu,sfx/loading_magical_girl_01.ogg,sc/loading_anime.sc,
Bolt,,sc/backgrounds/background_bolt.sc,bgr_bolt,,,,,Bolt_Menu,sfx/bolt_load_01.ogg,sc/loading_bolt.sc,
Brawlstrikers,,sc/backgrounds/background_brawlstrikers.sc,bgr_brawlstrikers,,,,,Footbrawl_Menu,sfx/footbrawl_load_01.ogg,sc/loading_ballers.sc,
Nanonoodle 1,,sc/backgrounds/background_nn.sc,bgr_nn1,,,,,Cybernoodle_Menu_Theme,sfx/cybernoodledoodlepoodle_load_01.ogg,sc/loading_kknoodles.sc,
Nori,,sc/backgrounds/background_nori.sc,bgr_nori,,,,,Nori_Menu_Theme,sfx/nori_load_01.ogg,sc/loading_nori.sc,
Nanonoodle 2,,sc/backgrounds/background_nn.sc,bgr_nn2,,,,,Cybernoodle_Menu_Theme,sfx/cybernoodledoodlepoodle_load_01.ogg,sc/loading_kknoodles.sc,
Windstock 1,,sc/backgrounds/background_windstock.sc,bgr_windstock,,,,,Windstock_Menu_Theme,sfx/windstock_loading_jingle_01.ogg,sc/loading_windstock.sc,
Windstock 2,,sc/backgrounds/background_windstock2.sc,bgr_windstock2,,,,,Wendy_Menu_Theme,sfx/wendy_loading_jingle_01.ogg,sc/loading_wendy.sc,
Windstock 3,,sc/backgrounds/background_windstock.sc,bgr_windstock,,,,,Windstock_Menu_Theme,sfx/windstock_loading_jingle_01.ogg,sc/loading_rebuildkatana.sc,
Backtoschool,,sc/background_backtoschool.sc,bgr_backtoschool,,,,,Highschool_Menu,sfx/monster_university_loading_01.ogg,sc/loading_Backtoschool.sc,
Cosmo,,sc/background_cosmo.sc,bgr_cosmo,,,,,Cosmo_Menu,sfx/cosmo_loading_01.ogg,sc/loading_cosmo.sc,
Brawloween26,,sc/background_brawloween26.sc,bgr_brawloween26,,,,,Halloween_menu,sfx/brawloween_load_01.ogg,sc/loading_brawloween26.sc,
Vince,,sc/background_vince.sc,bgr_vince,,,,,Vince_Menu,sfx/vince_loading_01.ogg,sc/loading_vince.sc,
Duolingo,,sc/background_duolingo.sc,bgr_duolingo,,,,,Duolingo_Menu,sfx/duolingo_load_01.ogg,sc/loading_duolingo.sc,
