Name,Disabled,FileName,BackgroundFile,FallBackMusic,Volume,Loop,PlayCount,MovieClipFrameLabel
Retropolis_battle,,music/retro_brawl_ingame_01.ogg,,,70,true,,
Retropolis_menu,,music/brawl_retro_menu_01.ogg,,,60,true,,
Halloween_menu,,music/brawloween_menu_01.ogg,,,60,true,,
Halloween_ingame,,music/brawloween_ingame_02.ogg,,,70,true,,
Brawlcade_Menu,,music/brawlcade_menu_01.ogg,,,60,true,,
Brawlcade_Ingame,,music/brawlcade_ingame_01.ogg,,,70,true,,
,,music/brawlcade_ingame_02.ogg,,,70,true,,
Space_Brawl_Menu,,music/military_lase_tag_ingame_01.ogg,,,60,true,,
Space_Brawl_LNY_Menu,,music/brawl_lunarnewyear_space_lazer_military_01.ogg,,,60,true,,
Space_Brawl_Ingame,,music/military_lase_tag_ingame_01.ogg,,,70,true,,
,,music/military_lase_tag_ingame_03.ogg,,,70,true,,
,,music/military_lase_tag_ingame_02.ogg,,,70,true,,
Xmas_Pirate_Menu,,music/brawl_pirate_menu_01.ogg,,,60,true,,
Pirate_Brawl_Ingame,,music/pirate_brawl_ingame_01.ogg,,,70,true,,
MenuMusic,,music/brawl_stars_menu_01.ogg,,,60,true,,
MechMenuMusic,,music/mech_menu_01.ogg,,,60,true,,
Cnymenu_music,,music/cny_brawl_menu_01.ogg,,,60,true,,
Brawl_royale_menu_music,,music/royale_brawl_menu_01.ogg,,,60,true,,
Brawl_dawgs_menu,,music/brawl_dawgs_menu_01.ogg,,,60,true,,
Xmas_menu,,music/brawlmass_01.ogg,,,60,true,,
10th_Anniversary_Menu,,music/brawl_original_menu_01.ogg,,,60,true,,
WinJingle,,music/slugfest_game_won_01.ogg,,,80,,1,
LoseJingle,,music/slugfest_game_lost_01.ogg,,,70,,1,
DrawJingle,,music/laser_game_draw_01.ogg,,,70,,1,
Win_loop,,music/win_screen_loop_4x_01.ogg,,,60,true,,
Draw_loop,,music/draw_screen_loop_4x_01.ogg,,,60,true,,
Lose_loop,,music/lose_screen_loop_4x_01.ogg,,,60,true,,
Brawlbawl_goal,,music/brawl_goal_02.ogg,,,80,,1,
Brawlbawl_other_goal,,music/brawl_other_goal_01.ogg,,,80,,1,
30_sec_panic,,music/brawl_panic_time_01.ogg,,,75,true,,
Brawl_xmas_flag_win,,sfx/brawloween_load_01.ogg,,,70,,1,
Brawl_xmas_flag_lose,,sfx/brawloween_load_01.ogg,,,70,,1,
Snowtel_Menu,,music/snowtel_menu_01.ogg,,,60,true,,
Snowtel_Ingame,,music/snowtel_ingame_01.ogg,,,70,true,,
Ranked_pick,,music/bs_nerd_mode_01.ogg,,,60,true,,
Golden_Week_Menu,,music/golden_paw_stars_01.ogg,,,60,true,,
Action_Western_Menu,,music/action_western_stars_01.ogg,,,60,true,,
Action_Western_Ingame,,music/rooty_tooty_ingame_01.ogg,,,70,true,,
Basketbrawl_goal,,music/brawl_score_point_01.ogg,,,80,,1,
Basketbrawl_other_goal,,music/brawl_other_point_01.ogg,,,80,,1,
Volleybrawl_goal,,music/brawl_score_point_01.ogg,,,80,,1,
Volleybrawl_other_goal,,music/brawl_other_point_01.ogg,,,80,,1,
Summer_Brawl_Menu_Muzak,,music/brawl_dinobeach_menu_01.ogg,,,60,true,,
Summer_Brawl_Ingame_Music,,music/brawl_dinobeach_ingame_01.ogg,,,70,true,,
Punk_Brawl_Menu,,music/brawl_punk_menu_01.ogg,,,70,true,,
Fairytale_Menu,,music/brawl_fairytale_menu_01.ogg,,,60,true,,
Courtyard_Ingame,,music/brawl_castle_ingame_01.ogg,,,70,true,,
Brawlywood_Ingame,,music/brawlywood_ingame_01.ogg,,,70,true,,
Brawlywood_Menu,,music/brawlywood_menu_01.ogg,,,60,true,,
Retro_Fight_Menu,,music/retro_fighting_menu_01.ogg,,,60,true,,
Retro_Fight_Ingame,,music/retro_fight_ingame_01.ogg,,,70,true,,
Biodome_Menu,,music/biodome_menu_01.ogg,,,60,true,,
Biodome_Ingame,,music/biodome_ingame_01.ogg,,,70,true,,
Pinstuntbrawl_Menu,,music/pinstuntbrawl_menu_01.ogg,,,60,true,,
Pinstuntbrawl_Ingame,,music/pinstuntbrawl_ingame_01.ogg,,,70,true,,
Bad_Randoms_Music,,music/we_wont_cooperate.ogg,,,70,true,,
,,music/background/healing_lies.ogg,true,,70,true,,
,,music/background/mortis_game.ogg,true,,70,true,,
,,music/background/together_song.ogg,true,,70,true,,
Deepsea_Beastieboys_Menu,,music/deepsea_beastieboys_brawl_menu_01.ogg,,,60,true,,
Underwater_Braw_Ingame,,music/underwater_brawl_ingame_01.ogg,,,70,true,,
Robotfactory_Menu,,music/robot_factory_brawl_menu_01.ogg,,,60,true,,
Robotfactory_Ingame,,music/robot_factory_brawl_ingame_01.ogg,,,70,true,,
TopGun_Action_Menu,,music/top_gun_action_brawl_menu_01.ogg,,,60,true,,
Ghosttrain_Menu,,music/brawloween_2022_menu_01.ogg,,,60,true,,
Ghosttrain_Ingame,,music/brawloween_ghost_train_ingame_01.ogg,,,70,true,,
Candyland_Ingame,,music/brawl_candy_level_ingame_01.ogg,,,70,true,,
Krampus_Menu,,music/brawl_krampus_menu_01.ogg,,,60,TRUE,,
Brawlentines_Menu,,music/brawlentine_menu_01.ogg,,,60,TRUE,,
Mandy_Candy_Menu,,music/mandy_candy_meny_muzak_01.ogg,,,60,TRUE,,
Scifi_Noir_Menu,,music/brawl_scifi_noir_menu_01.ogg,,,60,true,,
Mask_Dance_Menu,,music/brawl_mask_dance_menu_01.ogg,,,60,true,,
Lounge_Hub_Ingame,,music/brawl_lounge_ingame_01.ogg,,,70,true,,
Brawlympus_Menu,,music/brawlympus_menu_music_01.ogg,,,60,true,,
Brawl_Jungle_Menu,,music/brawl_jungle_menu_music_01.ogg,,,60,true,,
Brawl_Jungle_Ingame,,music/brawl_jungle_ingame_music_01.ogg,,,60,true,,
BasketbrawL_Ingame,,music/basket_brawl_ingame_music_01.ogg,,,60,true,,
Brawl_Enchanted_Forest_Menu,,music/brawl_enchanted_forest_menu_01.ogg,,,60,true,,
Brawl_Enchanted_Forest_Ingame,,music/brawl_enchanted_forest_ingame_01.ogg,,,70,true,,
Brawl_Cursed_Pirates_Menu,,music/brawl_cursed_pirate_menu_01.ogg,,,60,true,,
Highschool_Menu,,music/highschool_menu_music_01.ogg,,,60,true,,
Wasteland_Menu,,music/wasteland_menu_muzak_01.ogg,,,60,true,,
Wasteland_Ingame,,music/wasteland_ingame_music_01.ogg,,,70,true,,
Circus_Menu,,music/circus_menu_01.ogg,,,60,true,,
Circus_Ingame,,music/circus_ingame_01.ogg,,,70,true,,
Hindu_Menu,,music/hindu_menu_01.ogg,,,60,true,,
Piggybank_Ingame,,music/piggybank_ingame_01.ogg,,,70,true,,
Brawly_Toonz_Menu,,music/brawly_toonz_menu_music.ogg,,,60,true,,
Brawly_Toonz_Ingame,,music/brawly_toonz_ingame_01.ogg,,,70,true,,
Loveswamp_Ingame,,music/love_swamp_ingame_01.ogg,,,70,true,,
Loveswamp_Menu,,music/love_swamp_menu_01.ogg,,,60,true,,
,,music/love_swamp_menu_02.ogg,,,60,true,,
Kpop_Menu,,music/kpop_menu_01.ogg,,,60,true,,
Extraction_panic_music,,music/extraction_panic_music.ogg,,,70,true,,
Ragnarok_Menu,,music/ragnarok_menu_01.ogg,,,60,true,,sfx_ragnarok_menu_01
Babyshark_Menu,,music/babyshark_menu_01.ogg,,,60,true,,
Draco_Madevil_Menu,,music/brawlstars_metal_menu_master_v1.ogg,,,60,true,,
Draco_Madevil_Ingame,,music/brawlstars_metal_ingame_master_v1.ogg,,,70,true,,
Brawl_Haxx0r_M3nu,,music/brawl_hackers_menu_01.ogg,,,60,true,,
,,music/brawl_hackers_menu_02.ogg,,,60,true,,
Godzilla_Ingame,,music/godzilla_ingame_01.ogg,,,70,true,,
Godzilla_Menu,,music/godzilla_menu_01.ogg,,,60,true,,
Spongebrawl_Ingame,,music/spongebob_ingame_01.ogg,,,70,true,,
Katana_Brawl_Menu,,music/katana_brawl_menu_01.ogg,,,60,true,,
Dark_Once_Upon_Menu,,music/dark_once_upon_menu_01.ogg,,,60,true,,
Collab_Chaos_Teaser_Menu,,music/brawl_scary_book_loop_01.ogg,,,60,true,,
Spongebrawl_Menu_Musings,,music/spongebrawl_menu_music_01.ogg,,,60,true,,
Juju_Ingame_Music,,music/juju_environment_loop.ogg,,,70,true,,
Juju_Menu_Music,,music/juju_menu_loop.ogg,,,60,true,,
Demonic_Menu_Music,,music/bs_demonic_menu_theme_final_mix.ogg,,,60,true,,
,,music/bs_demonic_menu_theme_2.ogg,,,60,true,,
Angelic_Menu_Music,,music/bs_angelic_menu_theme_final_mix.ogg,,,60,true,,
,,music/bs_angelic_menu_theme_2.ogg,,,60,true,,
Skatebeat_Ingame_Music,,music/skatebeat_ingame_01.ogg,,,70,true,,
Skatebeat_Menu_Music,,music/skatebeat_menu_01.ogg,,,60,true,,
Disney_Buzz_Menu,,music/toy_story_menu_friend_01.ogg,,,60,true,,
,,music/toy_story_menu_buzz_01.ogg,,,60,true,,
Good_Randoms_Menu,,music/good_randoms_menu_01.ogg,,,60,true,,
Lumi_Menu_Music,,music/brawl_lumi_menu_01.ogg,,,60,true,,
Finx_Menu_Music,,music/finx_menu_music_01.ogg,,,60,true,,
Uno_Menu_Music,,music/uno_menu_music_01.ogg,,,60,true,,
Make_Heroes_Menu_Music,,music/make_heroes_menu_01.ogg,,,60,true,,
,,music/make_heroes_menu_02.ogg,,,60,true,,
Uno_Environment_Music,,music/uno_menu_ingame_music_01.ogg,,,60,true,,
Jae_Healing_Music,,music/healing_jae_music_01.ogg,,,60,true,,
,,music/healing_jae_music_02.ogg,,,60,true,,
Jae_Hyper_Music,,music/hyper_jae_music_01.ogg,,,60,true,,
,,music/hyper_jae_music_02.ogg,,,60,true,,
Jae_Menu_Music,,music/jae_edmtrot_menu_01.ogg,,,60,true,,
,,music/jae_love_menu_01.ogg,,,60,true,,
Feudal_Japan_Ingame_Music,,music/feudal_japan_ingame_music_01.ogg,,,70,true,,
Feudal_Japan_Menu_Music,,music/feudal_japan_menu_music_01.ogg,,,60,true,,
Kotomi_Kaze_Menu_Music,,music/kaze_kotomi_menu_music_01.ogg,,,60,true,,
Jae_Power_Mode,,music/jae_power_mode_music_01.ogg,,,60,true,,
Jae_Slow_Mode,,music/jae_slow_mode_music_01.ogg,,,60,true,,
Broba_Menu,,music/brawl_moba_01.ogg,,,60,true,,
MechaChime_Menu,,music/braw_x_chime_mecha_01.ogg,,,60,true,,
Alli_Menu_Music,,music/alli_menu_track_01.ogg,,,60,true,,
Trunk_Menu_Music,,music/trunk_menu_track_01.ogg,,,60,true,,
D&D_Brawl,,music/danddandbrawl_menu_track_01.ogg,,,60,true,,
Trophy_Road_Menu,,music/trophy_road_menu_01.ogg,,,60,true,,
Dark_Greek_Menu,,music/mortis_dark_greek_brawl_menu_01.ogg,,,60,true,,
Mina_Menu,,music/mina_menu_01.ogg,,,60,true,,
Ziggy_Menu,,music/ziggy_menu_01.ogg,,,60,true,,
Brawlsurfers_Menu,,music/brawlsurfers_menu_01.ogg,,,60,true,,
Brawlsurfers_Ingame,,music/subway_brawlstars_2_v2.ogg,,,70,true,,
Rush_Sugar_Menu,,music/candy_rush_menu_01.ogg,,,70,true,,
Brawlsurfers_Rio_Menu,,music/brawlsurfers_menu_01.ogg,,,60,true,,
,,music/sybo_subway_rio_theme.ogg,,,60,true,,
Brawlsurfers_Ny_Menu,,music/brawlsurfers_menu_01.ogg,,,60,true,,
,,music/sybo_subway_ny_theme.ogg,,,60,true,,
Brawlsurfers_Berlin_Menu,,music/brawlsurfers_menu_01.ogg,,,60,true,,
,,music/sybo_subway_berlin_theme.ogg,,,60,true,,
Brawlsurfers_Tokyo_Menu,,music/brawlsurfers_menu_01.ogg,,,60,true,,
,,music/sybo_subway_tokyo_theme.ogg,,,60,true,,
Stranger_Brawl_Ingame_01,,music/stranger_brawl_ingame_01.ogg,,,70,true,,
Stranger_Brawl_Ingame_02,,music/stranger_brawl_ingame_02.ogg,,,70,true,,
Stranger_Brawl_Ingame_03,,music/stranger_brawl_ingame_03.ogg,,,70,true,,
Winner_Winner_Waffle_Dinner,,music/wwwd_music_01.ogg,,,70,true,,
Gigi_Menu_Music,,music/gigi_menu_muzak_01.ogg,,,60,true,,
Mech_Brawl_Menu,,music/mech_menu_01.ogg,,,60,true,,
Stranger_Things_Menu,,music/stranger_things_menu_theme_01.ogg,,,70,true,,
Pierce_Menu_Music,,music/pierce_menu_01.ogg,,,60,true,,
Brawlentine_Menu,,music/brawlentine_menu_01.ogg,,,60,true,,
Steampunk_Menu,,music/steam_punk_menu_01.ogg,,,60,true,,
Glowbert_Menu,,music/glowbert_menu_01.ogg,,,60,true,,
,,music/glowbert_menu_02.ogg,,,60,true,,
Glowbert_Ingame,,music/glowbert_ingame_01.ogg,,,70,true,,
Dragons_Fairies_Menu,,music/dragons_and_fairies_theme_01.ogg,,,60,true,,
Sirirus_Menu,,music/sirius_theme_01.ogg,,,60,true,,
Najia_Menu,,music/najia_theme_01.ogg,,,60,true,,
Rush_Menu_Power,,music/rush_mode_music_01.ogg,,,60,true,,
Rush_Menu_Coin,,music/rush_mode_music_01.ogg,,,60,true,,
Rush_Menu_Box,,music/rush_mode_music_01.ogg,,,60,true,,
Rush_Menu_Starr,,music/rush_mode_music_01.ogg,,,60,true,,
Rush_Menu_Chaos,,music/rush_mode_music_01.ogg,,,60,true,,
Rush_Menu_Trophy,,music/rush_mode_music_01.ogg,,,60,true,,
Prestige_1_Music,,music/prestige_01_loop.ogg,,,60,true,,
Prestige_2_Music,,music/prestige_02_loop.ogg,,,60,true,,
Prestige_3_Music,,music/prestige_03_loop.ogg,,,60,true,,
Regular_Shop_Muzak,,music/regular_shop_muzak_01.ogg,,,60,true,,
Oddities_Shop_Muzak,,music/juju_oddities_shop_muzak_01.ogg,,,60,true,,
Damian_Menu,,music/damien_menu_muzak_02.ogg,,,60,true,,
Footbrawl_Menu,,music/footbrawl_menu_01.ogg,,,60,true,,
Bolt_Menu,,music/bolt_menu_01.ogg,,,60,true,,
Stella_Menu,,music/menu_starpatrol_01.ogg,,,60,true,,
Star_Girls_Menu,,music/menu_magical_girl_01.ogg,,,60,true,,
AllYouCanBeat_Menu,,music/aycb_music_02.ogg,,,50,true,,
AllYouCanBeat_Menu_Perfect,,music/aycb_perfect_music.ogg,,,60,true,,
Wendy_Menu_Theme,,music/wendy_menu_music_01.ogg,,,60,true,,
Windstock_Menu_Theme,,music/windstock_menu_music_01.ogg,,,60,true,,
Nori_Menu_Theme,,music/nori_menu_nusic_01.ogg,,,60,true,,
Cybernoodle_Menu_Theme,,music/cyber_poodle_doodle_menu_noodle_01.ogg,,,60,true,,
BowDudeSagittarius_Menu,,music/BowDudeSagittarius_bg_vo.ogg,,,60,true,,
ShotgunGirlElectronictoy_Menu,,music/ShotgunGirlElectronictoy_bg_vo.ogg,,,20,true,,
RollerCapricorn_Menu,,music/RollerCapricorn_bg_vo.ogg,,,60,true,,
emzaquarius_Menu,,music/emzaquarius_bg_vo.ogg,,,60,true,,
piperPisces_Menu,,music/piperPisces_bg_vo.ogg,,,60,true,,
Tronmortis_Menu,,music/Tronmortis_bg_vo.ogg,,,40,true,,
bull_Taurus_Menu,,music/bull_Taurus_bg_vo.ogg,,,60,true,,
FangUltramanTigaToy_Menu,,music/KickerDudeUltramanTiga_bg_vo.ogg,,,40,true,,
PrimoUltramanZeroToy_Menu,,music/LuchadorUltramanZero_bg_vo.ogg,,,40,true,,
EnragerCancer_Menu,,music/EnragerCancer_bg_vo.ogg,,,60,true,,
Spongebrawl_Ingame,,music/spongebob_ingame_01.ogg,,,70,true,,
Katana_Brawl_Menu,,music/katana_brawl_menu_01.ogg,,,60,true,,
Dark_Once_Upon_Menu,,music/dark_once_upon_menu_01.ogg,,,60,true,,
Collab_Chaos_Teaser_Menu,,music/brawl_scary_book_loop_01.ogg,,,60,true,,
PercenterVirgo_Menu,,music/PercenterVirgo_bg_vo.ogg,,,40,true,,
Lantern_Menu,,music/Lantern_bg_vo.ogg,,,60,true,,
BaseballScorpio_Menu,,music/BaseballScorpio_bg_vo.ogg,,,70,true,,
SniperIdol_Menu,,music/SniperIdol_bg_vo.ogg,,,60,true,,
UndertakerYangJianBlack_Menu,,music/Chnewyear2025_bg_music_k2.ogg,,,40,true,,
EnragerNezhaGold_Menu,,music/Chnewyear2025_bg_music_k2.ogg,,,40,true,,
CNY2025_Menu,,music/Theme_2025_CNY.ogg,,,40,true,,
MechaDudeAries_Menu,,music/Theme_2025_CNY.ogg,,,40,true,,
StarrRange_Menu,,music/star_range_music_01.ogg,,,70,true,,
Duolingo_Menu,,music/duolingo_menu_01.ogg,,,60,true,,
Duolingo_Ingame,,music/duolingo_ingame_01.ogg,,,70,true,,
Duolingo_Boss,,music/duolingo_boss_01.ogg,,,70,true,,
Vince_Menu,,music/vince_menu_01.ogg,,,70,true,,
Cosmo_Menu,,music/cosmo_menu_01.ogg,,,60,true,,
